TIME,FORCE,ANSYS,WORK
0,0,0,0
1,-6.5,-0.0136803,-0.01368025
2,-13,-0.02735495,-0.02735485
3,-19.5,-0.04102405,-0.04102375
4,-26,-0.05468755,-0.0546871
5,-32.5,-0.0683454,-0.06834475
6,-39,-0.0819977,-0.0819968
7,-45.5,-0.0956444,-0.0956432
8,-52,-0.1092855,-0.109284
9,-58.5,-0.122921,-0.1229195
10,-65,-0.136551,-0.136549
11,-71.5,-0.1501755,-0.150173
12,-78,-0.1637945,-0.163791
13,-84.5,-0.1774075,-0.1774035
14,-91,-0.1910155,-0.191011
15,-97.5,-0.2046175,-0.204613
16,-104,-0.218214,-0.2182085
17,-110.5,-0.231805,-0.231799
18,-117,-0.2453905,-0.245384
19,-123.5,-0.2589705,-0.258963
20,-130,-0.272545,-0.2725365
21,-136.5,-0.2861135,-0.286105
22,-143,-0.2996775,-0.299668
23,-149.5,-0.313235,-0.3132245
24,-156,-0.3267875,-0.3267765
25,-162.5,-0.340334,-0.340322
26,-169,-0.353875,-0.353862
27,-175.5,-0.367411,-0.367397
28,-182,-0.3809415,-0.3809265
29,-188.5,-0.394466,-0.39445
30,-195,-0.4079855,-0.407968
31,-201.5,-0.4214995,-0.421481
32,-208,-0.4350075,-0.434988
33,-214.5,-0.4485105,-0.44849
34,-221,-0.462008,-0.461986
35,-227.5,-0.4754995,-0.4754765
36,-234,-0.488986,-0.4889615
37,-240.5,-0.502467,-0.502441
38,-247,-0.5159425,-0.515915
39,-253.5,-0.5294125,-0.5293835
40,-260,-0.5428765,-0.542847
41,-266.5,-0.5563355,-0.5563045
42,-273,-0.5697895,-0.5697565
43,-279.5,-0.5832375,-0.5832035
44,-286,-0.59668,-0.596644
45,-292.5,-0.6101175,-0.61008
46,-299,-0.6235495,-0.6235105
47,-305.5,-0.6369755,-0.636935
48,-312,-0.6503965,-0.650354
49,-318.5,-0.6638125,-0.663768
50,-325,-0.6772225,-0.6771765
51,-331.5,-0.690627,-0.6905795
52,-338,-0.7040265,-0.703977
53,-344.5,-0.71742,-0.717369
54,-351,-0.730809,-0.7307555
55,-357.5,-0.744192,-0.744137
56,-364,-0.7575695,-0.7575125
57,-370.5,-0.770942,-0.7708825
58,-377,-0.7843085,-0.7842475
59,-383.5,-0.7976705,-0.797607
60,-390,-0.8110265,-0.810961
61,-396.5,-0.824377,-0.8243095
62,-403,-0.837723,-0.837653
63,-409.5,-0.851063,-0.850991
64,-416,-0.864397,-0.8643235
65,-422.5,-0.8777265,-0.8776505
66,-429,-0.8910505,-0.890972
67,-435.5,-0.9043695,-0.904288
68,-442,-0.9176825,-0.917599
69,-448.5,-0.93099,-0.9309045
70,-455,-0.944293,-0.9442045
71,-461.5,-0.95759,-0.957499
72,-468,-0.970882,-0.9707885
73,-474.5,-0.984168,-0.9840725
74,-481,-0.9974495,-0.997351
75,-487.5,-1.010725,-1.010625
76,-494,-1.024,-1.023895
77,-500.5,-1.03726,-1.037155
78,-507,-1.050525,-1.05041
79,-513.5,-1.063775,-1.06366
80,-520,-1.077025,-1.07691
81,-526.5,-1.09027,-1.09015
82,-533,-1.103505,-1.103385
83,-539.5,-1.116745,-1.116615
84,-546,-1.12997,-1.129845
85,-552.5,-1.14319,-1.143065
86,-559,-1.15641,-1.15628
87,-565.5,-1.16962,-1.16949
88,-572,-1.182825,-1.18269
89,-578.5,-1.19603,-1.19589
90,-585,-1.20923,-1.209085
91,-591.5,-1.22242,-1.222275
92,-598,-1.235605,-1.235455
93,-604.5,-1.248785,-1.24863
94,-611,-1.26196,-1.2618
95,-617.5,-1.27513,-1.27497
96,-624,-1.288295,-1.28813
97,-630.5,-1.301455,-1.301285
98,-637,-1.314605,-1.314435
99,-643.5,-1.32776,-1.327585
100,-650,-1.3409,-1.340725
101,-656.5,-1.35404,-1.35386
102,-663,-1.367175,-1.36699
103,-669.5,-1.3803,-1.380115
104,-676,-1.39342,-1.393235
105,-682.5,-1.40654,-1.40635
106,-689,-1.419655,-1.419455
107,-695.5,-1.432765,-1.432565
108,-702,-1.445865,-1.44566
109,-708.5,-1.45896,-1.45875
110,-715,-1.47205,-1.47184
111,-721.5,-1.48514,-1.48492
112,-728,-1.49822,-1.498
113,-734.5,-1.511295,-1.511075
114,-741,-1.52437,-1.524145
115,-747.5,-1.537435,-1.537205
116,-754,-1.550495,-1.55026
117,-760.5,-1.56355,-1.56331
118,-767,-1.5766,-1.57636
119,-773.5,-1.589645,-1.5894
120,-780,-1.602685,-1.602435
121,-786.5,-1.615715,-1.615465
122,-793,-1.62875,-1.628495
123,-799.5,-1.64177,-1.64151
124,-806,-1.65479,-1.654525
125,-812.5,-1.667805,-1.667535
126,-819,-1.680815,-1.68054
127,-825.5,-1.69382,-1.69354
128,-832,-1.70682,-1.706535
129,-838.5,-1.71981,-1.719525
130,-845,-1.7328,-1.732505
131,-851.5,-1.745785,-1.745485
132,-858,-1.75876,-1.75846
133,-864.5,-1.771735,-1.77143
134,-871,-1.784705,-1.78439
135,-877.5,-1.797665,-1.79735
136,-884,-1.810625,-1.810305
137,-890.5,-1.82358,-1.823255
138,-897,-1.83652,-1.836195
139,-903.5,-1.849465,-1.849135
140,-910,-1.862405,-1.862065
141,-916.5,-1.875335,-1.87502
142,-923,-1.88826,-1.88799
143,-929.5,-1.901185,-1.90096
144,-936,-1.914105,-1.91397
145,-942.5,-1.927015,-1.92697
