Force,ANSYS,WORK,ANSYS2,WORK2
0.04,0.00275199,0.00275263,2.75E-03,0.00275271
0.08,0.005504015,0.00550549,5.50E-03,0.00550571
0.12,0.008256075,0.008258585,8.26E-03,0.00825902
0.16,0.0110082,0.0110119,1.10E-02,0.0110126
0.2,0.01376025,0.01376545,1.38E-02,0.0137665
0.24,0.01651245,0.01651925,1.65E-02,0.0165207
0.28,0.01926465,0.01927325,1.93E-02,0.0192752
0.32,0.02201685,0.02202745,2.20E-02,0.0220299
0.36,0.0247691,0.0247819,2.48E-02,0.024785
0.4,0.02752145,0.0275366,2.75E-02,0.0275404
0.44,0.0302737,0.0302915,3.03E-02,0.030296
0.48,0.0330261,0.0330466,3.30E-02,0.0330519
0.52,0.03577845,0.03580195,3.58E-02,0.0358081
0.56,0.0385309,0.0385575,3.85E-02,0.0385646
0.6,0.0412833,0.0413133,4.13E-02,0.0413214
0.64,0.0440358,0.0440693,4.40E-02,0.0440785
0.68,0.04678825,0.04682555,4.68E-02,0.0468359
0.72,0.0495408,0.04958195,4.96E-02,0.0495935
0.76,0.0522934,0.0523386,5.23E-02,0.0523514
0.8,0.05504595,0.05509545,5.51E-02,0.0551096
0.84,0.05779855,0.05785255,5.78E-02,0.0578681
0.88,0.0605512,0.06062355,6.06E-02,0.0606406
0.92,0.06331955,0.0633993,6.33E-02,0.0634179
0.96,0.06609265,0.0661754,6.61E-02,0.0661956
1,0.06886575,0.06895175,6.89E-02,0.0689736
1.04,0.07165105,0.07173705,7.17E-02,0.0717607
1.08,0.0744801,0.0745695,7.45E-02,0.074595
1.12,0.07738995,0.07749945,7.74E-02,0.0775269
1.16,0.08040365,0.0804879,8.04E-02,0.0805174
1.2,0.08351385,0.08362785,8.35E-02,0.0836596
1.24,0.08674,0.0869111,8.68E-02,0.0869453
1.28,0.09014895,0.09031415,9.02E-02,0.0903509
1.32,0.0937075,0.0938985,9.37E-02,0.093938
1.36,0.09753585,0.09770965,9.76E-02,0.0977522
1.4,0.101558,0.10179,0.101604,0.101836
1.44,0.105838,0.1060425,0.105887,0.106092
1.48,0.1103125,0.1105575,0.110366,0.110611
1.52,0.1150565,0.1153745,0.115114,0.115432
1.56,0.1200615,0.1204475,0.120124,0.12051
1.6,0.1254035,0.1258275,0.125471,0.125895
1.64,0.1310085,0.1314875,0.131081,0.131561
1.68,0.136849,0.1374195,0.136928,0.137499
1.72,0.1430245,0.143664,0.14311,0.14375
1.76,0.1495315,0.1502035,0.149624,0.150297
1.8,0.1562915,0.1570715,0.156392,0.157173
1.84,0.163305,0.164187,0.163414,0.164297
1.88,0.170567,0.1715095,0.170685,0.171629
1.92,0.178126,0.1790385,0.178254,0.179168
1.96,0.185932,0.186829,0.18607,0.186969
2,0.1939345,0.194886,0.194084,0.195037
2.04,0.2021395,0.2031865,0.202301,0.20335
2.08,0.2105455,0.2116665,0.21072,0.211843
2.12,0.219145,0.2203235,0.219333,0.220514
2.16,0.227936,0.229205,0.228138,0.22941
2.2,0.236899,0.238228,0.237117,0.238448
2.24,0.246013,0.247435,0.246247,0.247672
2.28,0.255281,0.256794,0.255532,0.257048
2.32,0.2646895,0.2663405,0.264958,0.266613
2.36,0.2742385,0.276064,0.274526,0.276356
2.4,0.283933,0.285957,0.28424,0.286269
2.44,0.2937635,0.29598,0.294092,0.296313
2.48,0.303731,0.3060955,0.304081,0.306451
2.52,0.3138295,0.3163595,0.314202,0.316738
2.56,0.3240445,0.3267425,0.324441,0.327146
2.6,0.334381,0.33725,0.334802,0.337679
2.64,0.3448375,0.3478625,0.345285,0.348318
2.68,0.355389,0.358568,0.355863,0.359051
2.72,0.366054,0.3693755,0.366556,0.369887
2.76,0.3768105,0.3802975,0.377342,0.380839
2.8,0.3876475,0.391298,0.388209,0.391871
2.84,0.398568,0.402379,0.399161,0.402984
2.88,0.409583,0.4135285,0.410209,0.414167
2.92,0.4206735,0.424756,0.421333,0.425429
2.96,0.4318265,0.4360535,0.432521,0.436762
3,0.4430645,0.4474415,0.443795,0.448187
3.04,0.454384,0.458922,0.455152,0.459706
3.08,0.465753,0.4704765,0.466559,0.4713
3.12,0.4771955,0.4821025,0.478041,0.482967
3.16,0.48871,0.4937905,0.489597,0.494697
3.2,0.5002755,0.505546,0.501204,0.506496
3.24,0.5119035,0.5173485,0.512876,0.518343
3.28,0.523586,0.5292235,0.524603,0.530264
3.32,0.535326,0.541159,0.536389,0.542247
3.36,0.547114,0.5531615,0.548224,0.554298
3.4,0.5589535,0.5652055,0.560112,0.566392
3.44,0.5708445,0.5772885,0.572053,0.578526
3.48,0.582782,0.5894315,0.584042,0.590722
3.52,0.59477,0.6016245,0.596082,0.602969
3.56,0.606804,0.613861,0.60817,0.615261
3.6,0.6188785,0.6261345,0.620299,0.627591
3.64,0.630995,0.638467,0.632472,0.639982
3.68,0.643154,0.6508465,0.644689,0.652421
3.72,0.65535,0.663274,0.656944,0.66491
3.76,0.6675795,0.6757405,0.669234,0.677439
3.8,0.6798485,0.688243,0.681565,0.690005
3.84,0.692158,0.7007695,0.693938,0.702597
3.88,0.704502,0.7133175,0.706346,0.715212
3.92,0.7168805,0.7258865,0.718791,0.727849
3.96,0.7292895,0.7384905,0.731267,0.740522
4,0.7417295,0.7511365,0.743776,0.753239
4.04,0.7541995,0.7638185,0.756316,0.765994
4.08,0.766708,0.7765315,0.768896,0.778781
4.12,0.779244,0.789263,0.781505,0.791588
4.16,0.791801,0.8020115,0.794137,0.804413
4.2,0.804386,0.8147875,0.806798,0.817267
4.24,0.816996,0.827593,0.819485,0.830153
4.28,0.829634,0.840431,0.832202,0.843072
4.32,0.842302,0.853302,0.84495,0.856026
4.36,0.854993,0.8662,0.857723,0.869009
4.4,0.8677035,0.8791235,0.870516,0.882018
4.44,0.8804325,0.892061,0.88333,0.895043
4.48,0.8931815,0.9050105,0.896165,0.908081
4.52,0.905952,0.9179915,0.909023,0.921153
4.56,0.91875,0.930993,0.92191,0.934246
4.6,0.9315695,0.944012,0.93482,0.947359
4.64,0.9444035,0.95705,0.947746,0.960492
4.68,0.9572545,0.9701065,0.96069,0.973645
4.72,0.970125,0.9831805,0.973656,0.986817
4.76,0.98301,0.996264,0.986637,1
4.8,0.99591,1.00936,0.999635,1.0132
4.84,1.008835,1.02246,1.01266,1.0264
4.88,1.021775,1.035585,1.0257,1.03963
4.92,1.034725,1.04872,1.03875,1.05287
4.96,1.0477,1.06186,1.05183,1.06612
5,1.060685,1.075015,1.06492,1.07938
5.04,1.073675,1.08818,1.07802,1.09266
5.08,1.086685,1.10136,1.09114,1.10595
5.12,1.09971,1.11455,1.10427,1.11925
5.16,1.112755,1.127745,1.11743,1.13256
5.2,1.1258,1.14096,1.13059,1.14589
5.24,1.138865,1.15418,1.14377,1.15923
5.28,1.151945,1.16741,1.15696,1.17258
5.32,1.165035,1.18066,1.17017,1.18595
5.36,1.178135,1.193915,1.18339,1.19933
5.4,1.19124,1.20717,1.19662,1.21271
5.44,1.204365,1.220435,1.20986,1.2261
5.48,1.217495,1.233715,1.22312,1.23951
5.52,1.230635,1.24699,1.23638,1.25291
5.56,1.243785,1.26028,1.24966,1.26633
5.6,1.256955,1.27357,1.26296,1.27975
5.64,1.270125,1.28686,1.27626,1.29318
5.68,1.283295,1.300155,1.28956,1.30661
5.72,1.296485,1.31346,1.30288,1.32005
5.76,1.30968,1.32676,1.31621,1.33349
5.8,1.322885,1.340075,1.32955,1.34694
5.84,1.336095,1.3534,1.3429,1.36041
5.88,1.34931,1.366715,1.35626,1.37387
5.92,1.362535,1.38003,1.36962,1.38733
5.96,1.37577,1.393355,1.383,1.4008
6,1.38901,1.40668,1.39638,1.41427
6.04,1.40225,1.42,1.40977,1.42774
6.08,1.415505,1.433325,1.42317,1.44122
6.12,1.428765,1.44665,1.43658,1.45469
6.16,1.442025,1.45998,1.44999,1.46818
